0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/partials/login-window.html HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/partials/main.html HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/lib/open-sans/fonts/open-sans-v13-latin-700.woff2 HTTP/1.1" 200 10284
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/lib/open-sans/fonts/open-sans-v13-latin-600.woff2 HTTP/1.1" 200 10328
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/lib/open-sans/fonts/open-sans-v13-latin-regular.woff2 HTTP/1.1" 200 10352
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/partials/nav-tabs.html HTTP/1.1" 200 2371
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/ws/app/info HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:17 +0530] "POST /student-demo/ws/rest/com.axelor.meta.db.MetaMenu/search HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:17 +0530] "POST /student-demo/ws/action/menu/tags HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:18 +0530] "GET /student-demo/ws/action/menu/all HTTP/1.1" 200 13708
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:22 +0530] "POST /student-demo/ws/action/project.all HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:22 +0530] "GET /student-demo/partials/views/grid.html HTTP/1.1" 200 2783
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:23 +0530] "GET /student-demo/partials/views/details-form.html HTTP/1.1" 200 1572
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:23 +0530] "POST /student-demo/ws/action/com.axelor.meta.web.MetaFilterController:findFilters HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:23 +0530] "GET /student-demo/ws/meta/fields/com.axelor.apps.project.db.Project HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:23 +0530] "POST /student-demo/ws/meta/view HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:23 +0530] "GET /student-demo/lib/jquery.ui/css/smoothness/images/ui-bg_glass_75_e6e6e6_1x400.png HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:23 +0530] "POST /student-demo/ws/rest/com.axelor.apps.project.db.Project/search HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:24 +0530] "POST /student-demo/ws/action/project.my.task HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:24 +0530] "POST /student-demo/ws/action/com.axelor.meta.web.MetaFilterController:findFilters HTTP/1.1" 200 12
